ID,縣市,鄉鎮市區,村里,門牌,二級發布區,一級發布區,最小統計區,比對代碼,X坐標,Y坐標,坐標系統 
52,基隆市,仁愛區,文昌里,港西街四號,A1704-01,A1704-01-001,A1704-0001-00,AL0-F2-0-2020M07,121.740088465896,25.1326227944706,EPSG:4326
53,臺中市,nul,,l中山路二段435號,,,,門牌比對失敗或格式有誤,,,
54,屏東縣,車城鄉,後灣村,後灣路2號,A1323-06,A1323-06-010,A1323-0209-00,AL0-F1-0-2020M07,120.698546720028,22.0503279084969,EPSG:4326
55,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
56,臺北市,中正區,幸福里,齊東街53巷11號,A6305-05,A6305-05-003,A6305-0117-00,AL0-F1-0-2020M07,121.528795102168,25.0415770990333,EPSG:4326
57,臺東縣,臺東市,民族里,南京路25號,A1401-20,A1401-20-008,A1401-0694-00,AL0-F1-0-2020M07,121.146092420209,22.7565767349587,EPSG:4326
58,臺北市,中正區,幸福里,齊東街53巷11號,A6305-05,A6305-05-003,A6305-0117-00,AL0-F1-0-2020M07,121.528795102168,25.0415770990333,EPSG:4326
59,臺中市,北區,淡溝里,館前路1號,A6605-35,A6605-35-009,A6605-0471-00,AL0-F1-0-2020M07,120.666160087196,24.1558015267224,EPSG:4326
60,宜蘭縣,五結鄉,季新村,五濱路二段201號,A0209-13,A0209-13-006,A0209-0218-00,AL0-F1-0-2020M07,121.82407148253,24.6858943733361,EPSG:4326
61,高雄市,鳳山區,新強里,三多一路1號,A6412-71,A6412-71-448,A6412-0794-00,AL0-F1-0-2020M07,120.342433686041,22.6241698208957,EPSG:4326
62,基隆市,仁愛區,文昌里,港西街四號,A1704-01,A1704-01-001,A1704-0001-00,AL0-F2-0-2020M07,121.740088465896,25.1326227944706,EPSG:4326
63,基隆市,仁愛區,文昌里,港西街四號,A1704-01,A1704-01-001,A1704-0001-00,AL0-F2-0-2020M07,121.740088465896,25.1326227944706,EPSG:4326
64,臺南市,南區,新昌里,西門路一段６８９巷５９號,A6733-02,A6733-02-001,A6733-0009-00,AL0-F1-0-2020M07,120.196646375654,22.9867155371851,EPSG:4326
65,臺北市,松山健,,康公宅、文山興隆公宅、萬華青年公宅,,,,門牌比對失敗或格式有誤,,,
66,桃園市,新屋區,新屋里,中興路91巷11號,A6811-10,A6811-10-007,A6811-0342-00,AL0-F1-0-2020M07,121.10268966786,24.9707595749596,EPSG:4326
67,桃園市,新屋區,新屋里,中興路91巷11號,A6811-10,A6811-10-007,A6811-0342-00,AL0-F1-0-2020M07,121.10268966786,24.9707595749596,EPSG:4326
68,基隆市,中正區,港通里,信一路181號,A1701-21,A1701-21-009,A1701-0249-00,AL0-F1-0-2020M07,121.744172342018,25.1312548083407,EPSG:4326
69,,,,,,,,門牌比對失敗或格式有誤,,,
70,屏東縣,車城鄉,後灣村,後灣路2號,A1323-06,A1323-06-010,A1323-0209-00,AL0-F1-0-2020M07,120.698546720028,22.0503279084969,EPSG:4326
71,臺北市,松山區,新聚里,南京東路五段250巷36弄8號1樓,A6301-59,A6301-59-008,A6301-0655-00,AL0-F2-0-2020M07,121.566472665139,25.0495105439812,EPSG:4326
72,國立歷,史博物,,館,,,,門牌比對失敗或格式有誤,,,
73,臺北市,中正區,黎明里,襄陽路25號(臺博館斜對面),A6305-02,A6305-02-008,A6305-0059-00,AL0-F2-0-2020M07,121.514331352928,25.0435394080095,EPSG:4326
74,臺南市,安南區,淵西里,安中路四段290巷325弄65號,A6735-21,A6735-21-002,A6735-0509-00,AL0-F1-0-2020M07,120.171415548374,23.0536887549199,EPSG:4326
75,高雄市,苓雅區,中正里,五福一路67號,A6408-28,A6408-28-001,A6408-0238-00,AL0-F1-0-2020M07,120.317016355207,22.628247978256,EPSG:4326
