ID,縣市,鄉鎮市區,村里,門牌,二級發布區,一級發布區,最小統計區,比對代碼,X坐標,Y坐標,坐標系統 
1071,臺北市,士林區,德華里,文林路751號,A6311-49,A6311-49-002,A6311-0609-00,AL0-F1-0-2020M07,121.519443683304,25.1027898963203,EPSG:4326
1072,新竹市,北區,大同里,中央路109號,A1802-32,A1802-32-011,A1802-0494-00,AL0-F1-0-2020M07,120.969733488599,24.8064576469666,EPSG:4326
1073,臺南市,中西區,南美里,忠義路二段1號,A6737-16,A6737-16-011,A6737-0371-00,AL0-F1-0-2020M07,120.201804815299,22.9902981251582,EPSG:4326
1074,,,,,,,,門牌比對失敗或格式有誤,,,
1075,,,,,,,,門牌比對失敗或格式有誤,,,
1076,臺南市,中西區,大涼里,中華西路二段34號,A6737-18,A6737-18-012,A6737-0351-00,AL0-F1-0-2020M07,120.187465390502,22.9920975388783,EPSG:4326
1077,臺中市,西區,土庫里,五權西路一段2號,A6604-19,A6604-19-012,A6604-0303-00,AL0-F1-0-2020M07,120.663569248236,24.1415262580626,EPSG:4326
1078,屏東縣,琉球鄉,南福村,中正路255-1號（小島停琉）,A1322-06,A1322-06-002,A1322-0075-00,AL0-F2-0-2020M07,120.366608389363,22.3348622531071,EPSG:4326
1079,新竹縣,竹北市,文化里,縣政九路146號,A0401-28,A0401-28-009,A0401-0644-00,AL0-F1-0-2020M07,121.012495532887,24.8300958761876,EPSG:4326
1080,臺北市,中正區,東門里,中山南路21號,A6305-06,A6305-06-007,A6305-0292-00,AL0-F1-0-2020M07,121.521533610272,25.0347508475195,EPSG:4326
1081,臺北市,中正區,東門里,中山南路21號,A6305-06,A6305-06-007,A6305-0292-00,AL0-F1-0-2020M07,121.521533610272,25.0347508475195,EPSG:4326
1082,臺北市,中山南,,路21-1號,,,,門牌比對失敗或格式有誤,,,
1083,臺北市,中山南,,路21-1號,,,,門牌比對失敗或格式有誤,,,
1084,臺北市,大同區,永樂里,迪化街一段21號9樓,A6306-38,A6306-38-008,A6306-0443-00,AL0-F2-0-2020M07,121.510325034486,25.0545008407896,EPSG:4326
1085,臺北市,中山南,,路21-1號,,,,門牌比對失敗或格式有誤,,,
1086,臺南市,中西區,郡王里,府前路一段191號,A6737-23,A6737-23-003,A6737-0423-00,AL0-F1-0-2020M07,120.204792628942,22.9888818721076,EPSG:4326
1087,臺南市,中西區,郡王里,府前路一段191號,A6737-23,A6737-23-003,A6737-0423-00,AL0-F1-0-2020M07,120.204792628942,22.9888818721076,EPSG:4326
1088,臺南市,中西區,南美里,忠義路二段1號,A6737-16,A6737-16-011,A6737-0371-00,AL0-F1-0-2020M07,120.201804815299,22.9902981251582,EPSG:4326
1089,,,,,,,,門牌比對失敗或格式有誤,,,
1090,苗栗縣,苗栗市,水源里,水流娘8-2號,A0501-34,A0501-34-001,A0501-0596-00,AL0-N1-0-2020M07,120.816293313969,24.5326256187628,EPSG:4326
1091,臺南市,中西區,大涼里,中華西路二段34號,A6737-18,A6737-18-012,A6737-0351-00,AL0-F1-0-2020M07,120.187465390502,22.9920975388783,EPSG:4326
1092,臺北市,松山區,中正里,復興北路99號2樓,A6301-39,A6301-39-006,A6301-0484-00,AL0-F2-0-2020M07,121.544279974901,25.0528492783181,EPSG:4326
1093,新竹市,東區,光復里,忠孝路80號,A1801-11,A1801-11-010,A1801-0287-00,AL0-F1-0-2020M07,120.991503095683,24.8029955540109,EPSG:4326
