ID_SA,NAME_SA,COUNTRY_SA,THEME_SA,CLASSIFICATION_SA,imageUrl
782,王家鴻,臺北市,Fingerstyle木吉他的獨奏,表演藝術,https://cloud.culture.tw/c_upload_busker/image/2018-04-12/f4a5e540-0cc0-4682-817e-d1476ee59f9a/15ef1290b44e95739c94e34da5de1f2d.jpg
783,DamianoNiccolini,臺北市,薩克斯風吹奏,表演藝術,
784,陳萱丞,臺北市,舞大環DanceCyr,表演藝術,
785,錢冠宇,臺北市,特技雜耍,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-25/2f9db619-3fac-4ed7-afd4-c166a4d2fba8/3a5d19278a6cfb81709d08f404fe3105.jpg
786,AmiryanVardan,臺北市,小丑雜耍互動,表演藝術,
787,楊立微,臺北市,足技表演,表演藝術,
788,許浩源,臺北市,雜耍武幻,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-25/9f6f9462-49a9-4017-a4ad-a9fec8e182e4/3c142b7b8e03ff92f7c7c4f951be047d.jpg
789,徐豪謙,臺北市,氣球秀,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-25/09a3b913-bd2c-4210-a019-698a0b42ae1d/863276cb20be0bb8a533ee3ad5162529.jpg
790,陳怡惠,臺北市,小丑氣球魔術,表演藝術,https://cloud.culture.tw/c_upload_busker/image/2019-05-22/e52aefe4-ca8a-4156-b824-2656d25da26d/f584384ca7978d4a40842d37705a01c5.jpg
791,閻沛汝,臺北市,特技呼拉圈,表演藝術,
792,賴寬誌,臺北市,創意雜耍,表演藝術,
793,陳慶澤,臺北市,街舞表演,表演藝術,
794,廖世傑,臺北市,躍●立方體,表演藝術,
795,傅遠超,臺北市,彩繪插畫,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-01-04/35d4ffad-d0ff-44f1-b6a5-46d0200267e5/332023a68a390c01de65b4d9b704a704.JPG
796,王馨儀,臺北市,禪繞畫手繪,視覺藝術,
797,洪明河,臺北市,人像速寫,視覺藝術,
798,張陸治,臺北市,3分鐘卡通、Caricature 肖像繪圖,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-01-04/77136a85-21ae-46b3-a19f-b6ec1f8595c6/a0b9c346245f746609a5a07e7e5139b1.PNG
799,鄧君儀,臺北市,人像彩繪(似顏繪),視覺藝術,
800,徐浩偉,臺北市,人像畫,視覺藝術,
801,飛達,臺北市,LOVERSFLYING,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-30/86f7650f-5d53-4cb1-bf13-1f30db7e6391/21b6e9f7420a96f79a2e6f81e620a1e3.JPG
802,吳慧君,臺北市,Q版人像寵物繪畫,視覺藝術,
803,廖韋清,臺北市,Q版畫像素描,視覺藝術,
804,鄭晰文,臺北市,人像速寫,視覺藝術,
805,陳妍姍,臺北市,人像創作,視覺藝術,
806,梁濯紳,臺北市,客製著色明信片畫,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-30/2dae3374-b0cc-4853-8784-349e341c9608/60687654042008f936fe5505713ae402.jpg
807,傅遠超,臺北市,燒燒畫畫,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-01-04/172aa4c0-5454-49f9-9ff8-b1afe59ac96d/332023a68a390c01de65b4d9b704a704.JPG
808,李金潾,臺北市,氣球創作,創意工藝,
809,林三元,臺北市,草編與手作童玩,創意工藝,
810,洪證家,臺北市,創意造型氣球表演,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-30/5bd60991-86ca-452b-841f-a1638ee52d3e/381596ab48dfeedbbdf62221e23e7f5d.jpg
811,陳恬玫,臺北市,創意造型氣球,創意工藝,
812,神愛之音,臺北市,唱歌,表演藝術,
813,Candy&Wendy,臺北市,古箏演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/image/2019-11-28/7a0d5498-ae7e-498f-9c12-1340f73737b3/f52f2d88b9697c8848ed69ee2775b0c1.jpg
814,BLUESKY,臺北市,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/image/2018-12-08/dc1de8de-bbcb-4798-ad2d-2fa191e7ddc6/420a4c9fe93b93424502f9dbb91f7dd5.jpg
815,WeiKing,臺北市,雙木吉他彈奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/team/image/2017-08-01/959aa076-efcb-4342-beb3-0a4b2f6b90d1/36e822f10bd7e2c06922ad7b1a5e015d.jpg
816,FoundER,臺北市,吉他彈唱,表演藝術,
817,鈴行者劇團-DiaboloWalker,臺北市,扯鈴,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/team/image/2017-12-13/69da19f7-12c7-4fe9-a695-ec9d797288c8/7dfe36efc9ff074a6aad9aabfb5231d0.jpg
818,LOVE輪椅舞,臺北市,輪椅舞蹈,表演藝術,
819,StreetBboy,臺北市,特技舞蹈,表演藝術,
820,路邊攤馬戲,臺北市,特技雜耍互動秀,表演藝術,
821,新心劇團,臺北市,歡樂馬戲,表演藝術,
822,麥考艾裘,臺北市,搞笑人像繪製,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/team/image/2018-07-12/f847391a-e990-4517-bc71-3d429bc17a42/a6c862eda300b2820d8650cc28c9df58.jpg
823,黃添德,臺北市,爵士鋼琴電子琴演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/d10f664e-2e8c-4ac3-bae3-db1e42a5d24f/bc604c5de362072877ba514fbc457f83.jpg
824,林順炎,臺北市,口琴表演,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/78539954-bee1-4b69-b54f-d65c942482bb/bf90b85c9527a653ea675e4f35185666.jpg
825,蔡嘉倫,臺北市,歌唱表演,表演藝術,
826,黃偉豪,臺北市,吉他自彈自唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/614ca1b6-c1a0-485a-9532-26a3a6f13cce/6e6c353604e22ce967cd77a483412760.jpg
827,洪政國,臺北市,我的樹葉及塑膠片都會唱歌,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/cd051e6e-1425-4d9a-80e0-8dd31f934b31/77c3ddfd35386663e59c4fe06545629b.jpg
828,蔡嘉揚,臺北市,為愛唱詩歌,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/77a99f06-4fac-4839-a948-c7358f34aa52/329a0c6a4806f2a480f8fce693532557.jpg
829,范民豐,臺北市,神奇魔術秀,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/f0e47980-75da-4a9b-a99a-7affb53eba59/e699e31db5a60083044131bfe7316381.jpg
830,樂覺新,臺北市,吉他彈唱,表演藝術,
831,黃文維,臺北市,小丑、氣球、行動雕像、魔術,表演藝術,
832,陳春吉,臺北市,樂器表演-手風琴,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/bf0d8a25-f859-40b2-8733-f2a15fec5c8e/67448940dd433c636e799a2b5d0a9048.jpg
833,李高昌,臺北市,手風琴演奏,表演藝術,
834,黃寶裕,臺北市,魔術,表演藝術,
835,林嘉文,臺北市,行動雕像,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/22eff694-1bb4-4306-adf2-ef3cd0c15b8c/0aa99a79a6e3abe233fec0047043d648.jpg
836,林俞伶,臺北市,月琴彈唱,表演藝術,
837,顏孝永,臺北市,木吉他搖滾,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/64d7f580-50e1-408b-825c-443c4da6d0ca/23aff27a2a177f30f1b0b10a280ebeb9.jpg
